Material_health;Product_circularity;Product_number;Product_description
0;0;705097400000;Decora Zuckerperlen blau
0;0;705097500000;Decora Zuckerperlen braun
0;0;705097600000;Decora Zuckerperlen grün
0;0;705097700000;Decora Glitzerperlenzucker pink
0;0;705097800000;Decora Glitzerperlenzucker blau
0;0;705097900000;Decora Glitzerperlenzucker violette
0;0;705802400000;Decora Zuckerdekor Fussball
0;0;705802700000;Decora Zuckerdekor Dino
0;0;705802600000;Decora Zuckerdekor Mermaid
0;0;705802500000;Decora Zuckerdekor Unicorn
***;***;703944600001;SPITZENUNTERSETZER 13 CM
***;***;703944600002;TORTENPAPIER 28 cm
***;***;703944600003;TORTENPAPIER 36 cm
***;***;705034000001;GM TORTENPAPIER GOLD
***;***;703948600000;GM TORTENPAPIER RECHTECKIG 17X34CM
***;***;705034000002;GM TORTENPAPIER SILBER
***;***;705091300000;GM PAPIER-BACKFÖRMCHEN BUNT 100 STK FSC
***;***;705091500000;GM PAPIER-BACKFOERMCHEN WEISS 200 STK
***;**;705099400000;BRÖTCHEN BACKFORM
***;****;705055200000;GÄR - UND BROTKÖRBCHEN RUND 
***;****;705093000000;GÄR UND BROTKÖRBCHEN LÄNGLICH
***;****;705092900000;GÄR UND BROTKÖRBCHEN RUND GROSS
***;****;705034600000;SCHOKOLADEN-SPRITZBEUTEL
*;**;705027900000;CAKEFORM 25CM
*;**;705057600000;CHÄSCHÜECHLIFORMEN Ø 11 CM 5 STK.
*;**;705054900000;GUGELHOPF BACKFORM MARISSA Ø 24CM
*;**;705027800000;GUGELHOPFFORM 23 CM
*;**;705027500000;KUCHENBLECH 32X24CM
*;**;705028300000;KUCHENBLECH MIT DECKEL 24 X 32CM
*;**;705027200000;MUFFIN-FORM GROSS 12 STK
*;**;705028000000;PIZZABACKBLECH 32CM
*;**;705026500001;SPRINGFORM 18CM
*;**;705026500002;SPRINGFORM 24CM
*;**;705026500003;SPRINGFORM 26CM
***;**;705091000000;SILIKON-BACKPINSEL
***;****;703921400000;MEHLSIEB INOX
***;**;705092800000;TEIGRAD
***;**;705091100000;GM BACKPINSEL 2 STÜCK
***;****;703935700000;"EINWEG RAHMBLÄSER-KAPSELN ""KISAG"""
***;***;704969800000;GM TEIGHÖLZER SET
*;**;705028500000;KISAG FLAMBIERBRENNER
***;****;705066800000;KISAG RAHMBLÄSER CLASSIC COLD 0.5L
***;**;703909700000;SPRITZBEUTEL 25 CM MIT 4 TÜLLEN
***;**;705091200000;TEIGSCHABER KAUTSCHUK MIT INOXGRIFF
***;**;703928900000;TEIGSPACHTEL-SET
***;****;705095800000;Tülle Shaggy
***;****;705026900006;BLUMEN TÜLLE
***;****;705026900004;BLUMENTÜLLEN
***;****;705099800000;Sterntülle 19cm 
0;0;705038900085;GLITZERSPRAY GOLD
0;0;705038900084;GLITZERSPRAY SILBER (pink)
***;****;705801100000;Rundetülle 1.2mm 
0;0;705095200000;PME Suger Toppers Sneaker weiss
0;0;705095100000;PME Suger Toppers Sneaker rosa
0;0;705095000000;PME Suger Toppers Sneaker blau
0;0;705095600000;PME Sprinkles Unicorn
0;0;705095500000;PME Sprinkles Mermaid
