Product_number;Product_description;M-Check Packaging
111403100200;FH ADR ZH ZUERCHER BUTTERZOPF 500G HB;4
111488400200;FH BIO FOUGASSE 500G HB;4
111411500270;FH ADR LU BASLER-BROT 500G HB;4
111472100270;FH ADR LU ST. GALLERBROT HB;4
111402300200;FH ADR AA GOTTHELF SPECKZOPF 500G HB;4
111421200200;FH ADR LU IP BUTTERWEGGEN 500g HB;4
111124400200;FH ADR VS IP RUCHBROT CARRE 500G HB;4
111492800200;FH IP UR-ACKERKORN BROT 500G HB;4
111447600200;FH ADR AA IP OBERAARGAUER-BROT 500G HB;4
111472100200;FH IP ST.GALLER-BROT RUCH HB;4
111493300200;FH DINKELBROT 500G HB;4
111407000200;FH ADR AA IP HUUSBROT 600G HB;4
111403900200;FH ADR AA IP BESTER BUTTERZOPF 650G HB;4
111404000200;FH IP BUTTERZOPF 700G HB;4
111404000270;FH ADR LU BUTTERZOPF 700G HB;4
111466200200;FH IP HERCULES CLASSICO HALB 850G HB;4
111405000200;FH IP BUTTERZOPF 930G HB;4
111405000270;FH ADR LU BUTTERZOPF 930G HB;4
111405600200;FH IP BUTTERZOPF AM METER HB SW;4
111406000200;FH IP BUTTERZOPF 1300G HB;4
111466100200;FH IP HERCULES CLASSICO GANZ 1800G HB;4
160916100000;CREMDOR VANILLE 170ML;2
160916200000;CREMDOR CHOCOLAT 170ML;2
160916300000;CREMDOR STRACCIAT. 170ML;2
160916400000;CREMDOR CRUYERE 170ML;2
160916500000;CREMDOR CARAMEL 170ML;2
160916600000;CREMDOR ESPRESSO 170ML;2
160916700000;CREMDOR ALM SAL CAR 170ML;2
160916800000;CREMDOR CHEESECAKE 170ML;2
160370100000;CREMDOR CHEESECAKE 500ML;3
160370200000;CREMDOR COCO PAS OR 500ML;3
160370300000;CREMDOR CHILBI 500ML;3
160353500000;MEGASTAR CARAMEL 4ST;2
160353700000;EXOTIC 4ST;2
104485400000;M-Budget Rösti ;4
104475700000;M-Budget Kartoffelstock ;2
251200301000;SE M-CLAS ASC La.f oH 380;3
251200301100;SE Bio Lachsfil. m.H.300g;3
251104934000;SE M-CLAS MSC Kabj.f 360g;3
251104935000;M-CLAS MSC Skrei Rueckstk;3
251230100000;Bio Lachsfilet mit Haut;3
251105330000;M-CLAS MSC Dorschfilet neu: Kabeljaufilet;3
251104930000;M-CLAS MSC Kabeljrueckfil;3
251230300000;Bio Lachs Filet ohne Haut;3
251230000000;Bio Lachs Tranchen;3
251230100100;Bio Lachsschwanz m/H Knob;2
251200400000;M-CLAS ASC Lachsfilet;3
251107140000;M-CLAS MSC Schellfisch;3
251200600000;M-CLAS MSC Wildlachsfilet;3
251200300000;M-CLAS ASC Lachsfilet o.H;3
251200355000;M-CLAS ASC Lachsrueckenfi;3
251200347000;M-CLAS ASC Lachsfil oH GP;3
251200100000;M-CLAS ASC Lachs Tranchen;3
251200353100;M-CLAS ASC Lachsfil.Ahorn;2
251200353300;ASC Lachswuerfel Gemuese;3
251200352800;ASC Lachsschwfil Baerlau;3
251200353500;ASC Lachsfilet o/H Safran;3
251105540000;M-CLAS MSC Kabeljaubaggli;3
251104911100;MSC Kabelj gew Ratatouill;3
251200353200;ASC Lachsf gefu m Gemuese;2
251200353400;ASC Lachsstreifen o/HSKIN;3
251101800000;M-CLAS MSC Heilbuttfilet;3
251104931000;M-CLAS MSC Kabeljrueckfil;3
251106531000;M-CLAS MSC Seelachsrucken;3
251117130000;M-CLAS MSC Katfischfilet;3
251200102500;M-CLAS ASC Lachstranche 2;3
251200352900;ASC Lachsfilet mH SKIN;3
251200353000;ASC Lachsfilet o/H Skin;3
251200355500;M-CLAS ASC Lachsr.fi spez (Lachsrückenfilet);3
251411000000;M-CLAS Kraken ganz;3
251411010000;MSC Pulpo o/K Refresh FAM;3
251461700000;M-CLAS Kalmar;3
251400510000;SE Bio Crev Tail-off 240g;3
251400410000;SE Bio Crev Tail-on 240g;3
251426320000;SE M-CLAS MSC Miesmus 2kg;4
251462000100;Bio Crevetten gekocht;3
251462000300;Bio Crevetten gek ges;3
251426330000;M-CLAS MSC Miesmuscheln;4
251405530000;M-CLAS MSC Jakobsnuesse;3
251400833100;M-CLAS ASC Crev PD 180g;3
251406303200;SEL ASC Chil-Vanil Shrimp;2
251462130000;Bio GRI Crev.-Spiess mar.;3
251425001000;ASC Austern Nr. 3 / 6 Stk;3
251455940000;Kalmar Ringe 200g;3
251430800000;M-CLAS MSC Muscheln Knobl;3
251430400000;M-CLAS MSC Muscheln Gemue;3
251400600000;SEL ASC Crevetten Tail-On;2
251400840000;M-CLAS FW Crev.schwanz (regional);3
251400831000;M-CLAS ASC Crev tail-on;3
251414430200;ASC Crev Rosmar/Meersal;2
251400923000;ASC Crevetten roh 400g;3
251401101000;SE M-CLAS MSC Kaltw.crev.;2
251422600000;M-CLAS MSC Vongoles;3
251425000600;Austern Claire No3 6St SB;3
251400920100;Bio BT Crevetten Skin;3
160359800000;CREMDOR FIOR LATTE 1000ML;3
160359900000;CREMDOR CR. GRUYERE 1L;3
160360000000;CREMDOR IRISH CREAM 1L;3
160360100000;CREMDOR TROIS NOIX 1000ML;3
160360600000;CREMDOR JAMAICA 1L;3
160360800000;CREMDOR STRACCIATEL. 1L;3
160360900000;CREMDOR ESPRESSO 1L;3
160361100000;CREMDOR CAPPUC./CHOCO. 1L;3
160361300000;CREMDOR WALDBEEREN 1L;3
160366700000;CREMDOR WALNUT/MAPLE 1L;3
160366800000;CREMDOR PISTACHE 1L;3
160368300000;CREMDOR CARAMEL 1L;3
160368600000;CREMDOR CHOCOLAT 1L;3
160368900000;CREMDOR VAN. BOURBON 1L;3
104431100000;M-BUD BASMATI 1KG;4
104431200000;M-BUD RISOTTO 1KG;4
104431000000;M-BUD LANGKORNREIS PARB. 1KG;4
164024600000;V-LOVE BURGER;3
162558600000;MCLAS COUSCOUS BOWL TOFU;4
162558700000;MCLAS QUINOA BOWL MIT POULET;4
162558800000;VLOVE REISBOWL GEMUESE PLENTI;4
251114322000;SE Gelbfl.Thunfil 300g;3
251114300000;M-CLAS Thunfischfilet;3
251414300100;SEL Thunfischsteak Sesam;2
251114321900;SE Gelbflossenthunfischfilet 2Stk. SB;3
251336030000;M-CLAS MSC Kabeljaufi ges;3
251108300000;MSC Seeteufelfilet SB;3
251113800000;M-CLAS Makrelen;3
251115200000;M-CLAS Atlant. Sardinen;3
251107830000;M-CLAS MSC Rotbarschfilet;3
265608802300;Extra Himbeeren 250g;3
107119800000;Delizio Espresso Italiana 12 Kapseln;4
107119900000;Delizio Lungo Italiana 12 Kapseln;4
107120000000;Delizio Ristretto Italiana 12 Kapseln;4
107121400000;Delizio Espresso 12 Kapseln;4
107121500000;Delizio Ristretto 12 Kapseln;4
107121600000;Delizio Crema 12 Kapseln;4
107121700000;Delizio Decaffeinato 12 Kapseln;4
107121800000;Delizio Lungo Fortissimo 12 Kap.;4
107121900000;Delizio Lungo Leggero 12 Kapseln;4
107122600000;Delizio Espresso Intenso 12 Kapseln;4
107122700000;Delizio Vaniglia 12 Kapseln;4
107122800000;Delizio Caramello 12 Kapseln;4
107124400000;Delizio Nocciola 12 Kapseln;4
107179800000;Delizio Lungo Fortissimo 48 Kapseln;4
107179900000;Delizio Lungo Leggero 48 Kapseln;4
107182100000;Delizio Lungo Crema 48 Kapseln;4
107182200000;Delizio Espresso Classico 48 Kapseln;4
107184700000;Delizio Lungo Decaffeinato 48 Kapseln;4
107191900000;Delizio Ristretto Forte 48 Kapseln;4
107131400000;BIO Havelaar DEL Lungo 12er;4
107131500000;BIO Havelaar DEL Espresso 12er;4
107131600000;Delizio FE LE Cioccolato 12er;4
110180800000;Blévita BIO Classic Stange;4
110181000000;Blévita BIO Classic 6er;4
251108111000;Sélection MSC Seeteufelbäggli;3
102701700000;Patissier Schokoladenpulver;4
110523200000;Blévita Lemon & Pepper;4
110250300000;Party Apéritif-Gebäck 300g;4
110200500000;Party Brezel gesalzen 250g;4
110200300000;Party Sticks gesalzen 250g;4
110272100000;SE Party Cracker gesalzen XXL 360g;4
110272000000;SE Party Pizza Cracker XXL 450g;4
110230100000;Party Crackers gesalzen 210g;4
110201900000;Party Gruyère Crackers 150g;4
110231100000;Party Jungle Pretzels 180g;4
110231900000;Party Turtles 150g;4
110230800000;Party Pizza Crackers 150g;4
110230200000;Party Sticks Kichererbse/Paprika 120g;4
110230600000;Party Sticks Thymian Salz 120g;4
110230500000;Party Sticks Randen Chia 120g;4
110231300000;SE Party Sticks Randen/Chia XXL 240g;4
110231400000;SE Party Sticks Thymian/Salz XXL 240g;4
101409100000?;Party BBQ Mandeln 180g?;4
101413900000?;Party Crunchy Mais 150g?;4
101403400000?;Party Nussmischung Sultaninen 200g?;4
101403900000?;Party Pistazien 250g?;4
101404000000?;Party Pistazien 500g?;4
101417600000?;Party Fun Balsamico-Mix 200g?;4
101417700000?;Party Fun Erbsen mit Sriracha 170g?;4
101418000000?;Party Fun Erbsen mit Wasabi 170g?;4
101417800000?;Party Fun Favabohnen Chili-Lime 150g?;4
101417900000?;Party Fun Favabohnen Pizza 150g?;3
101403000000?;Party Nussmischung 200g?;3
101406500000?;Party Nussmischung geröstet 200g?;3
101406300000?;SE Party Nussmischung 500g?;4
101406200000?;SE Party Pistazien 750g?;4
251200301500;MB ASC Lachsfilet m/H 2x150g;3
110101000000;Blévita mini Paprika;3
104243500000;Farmer Maple Syrup Pecan ;3
101550500000;V-Love Clouds Raspberry;3
113669200000;STUDENTENSCHNITTE 320G;4
113106900000;BIRNWEGGLI 3ER;4
113641000000;LINZERSCHNITTE 360G;5
113127000000;NUSSROLLEN 4ER;4
113642000000;BIRNWEGGEN 400G;4
113665700000;RUSSENZOPF 330G;4
113611800000;BRIOCHE ST.GERMAIN 330G;4
113345500000;MC LINZER TORTE 400G;4
113646800000;MANDELSTOLLEN 330G;4
113620100000;DAENENSTOLLEN 300G;4
113304500000;MC APRIKOSEN-TORTE 400G;4
113187000000;SPITZBUBE 75G;4
113184300000;PFAFFENHUT 105 G;4
110406000000;HASELNUSS-CARRE 90 G;4
113124200000;MANDELGIPFEL;4
113188700000;VOGELNESTLI 75G;4
113220100000;SPITZBUBE SAISON 75G;4
113283000000;MINI LEMON CAKE 90G;4
113283100000;MINI SCHOGGI CAKE 90G;4
110434900000;ST. GALLER BIBERLI 90 G;4
113283200000;MINI TIROLER CAKE 90G;4
113544000000;HIMBEER-ROULADE 330 G;3
113819200000;MC HIMBEER-ROLLEN 150G;3
113549500000;MARMOR-ROULADE 310 G;2
113818500000;MC ZITRONEN-ROLLEN 150G;3
114013500000;BERLINER GESTAUBT 4ER;3
114013700000;BERLINER GESTAUBT 2ER;4
114013800000;BERLINER GEZUCKERT 2ER;4
114040000000;MINI SCHENKELI;4
114090900000;ZIGERKRAPFEN 2ER;4
110434500000;APPENZELLER BIBERLI 75 G;4
110435100000;ST. GALLER BIBERLI 6ER;4
110436500000;BIBERFLADEN GEFUELLT 500 G;4
110407000000;BIBERFLADEN UNGEFUELLT 2ER;4
113220800000;MC SCHOKOLADEN CAKE;4
113220700000;MC ZITRONEN CAKE;4
113280000000;KAKAO GUGELHOPF;4
113278700000;MC DESSERT-PREUSSEN 360G;3
113299100000;MC LEG DESSERT PREUSSEN 220G;3
113315000000;ENGADINER NUSSTORTE CL 500G;4
113272000000;GROSIS TIROLER CAKE;4
113270000000;GROSIS ZITRONEN CAKE 350G;4
113240500000;GROSIS FINANCIER-CAKE;4
113264800000;GROSIS SCHOGGI CAKE 420G;4
113252000000;GROSIS MARMOR CAKE 360G;4
113221500000;GROSIS RUEBLI CAKE 350G;4
113231100000;BANANA BREAD 320G;4
110108900000;HASELNUSS-VOGELNESTLI CL 12STK;4
